,SurahNo,AyahNo,EnglishTranslation,Tafseer
5484,73,10,"And have patience with what they say, and leave them with noble (dignity).","b'15. The address now turns to the disbelievers of Makkah, who were denying the Prophet (peace be upon him) and persecuting him relentlessly.'"
5485,73,11,"And leave Me (alone to deal with) those in possession of the good things of life, who (yet) deny the Truth; and bear with them for a little while.",b'There is no commentary by Abul Maududi available for this verse.'
5486,73,12,"With Us are Fetters (to bind them), and a Fire (to burn them),","b'17. That is, in the first place, you should be afraid that if you do not accept the invitation of the Messenger (peace be upon him) sent by Us, you will have to meet the same evil end in this world, which the Pharaoh has already met in consequence of this very crime. But even if no torment is sent on you in the world, how will you save yourselves from the punishment of the Day of Resurrection.'"
5487,73,13,"And a Food that chokes, and a Penalty Grievous.",b'There is no commentary by Abul Maududi available for this verse.'
5488,73,14,One Day the earth and the mountains will be in violent commotion. And the mountains will be as a heap of sand poured out and flowing down.,b'There is no commentary by Abul Maududi available for this verse.'
5489,73,15,"We have sent to you, (O men!) a messenger, to be a witness concerning you, even as We sent a messenger to Pharaoh.","b'18. About this verse in which reduction has been made in the injunction concerning the tahajjud Prayer, there are different traditions. Musnad Ahmad, Muslim and Abu Daud have related a tradition, on the authority of Aishah, saying that this second command was sent down one year after the first command, and the standing up in the Prayer at night was made voluntary instead of obligatory. Another tradition which Ibn Jarir and Ibn Abi Hatim have related, again on the authority of Aishah, says that this command came down eight months after the first command, and a third tradition which Ibn Abi Hatim has related again from her, says that it came down sixteen months later. Abu Daud, Ibn Jarir and Ibn Abi Hatim have cited the period of one year from Abdullah bin Abbas. But Saeed bin Jubair has stated that it was sent down ten years later. (Ibn Jarir, Ibn Abi Hatim). In our opinion this last view is most sound, for the subject matter of the first section clearly shows that it was sent down in Makkah and that too in the earliest stage when at the most four years might have passed since the advent of Prophethood. Contrary to this, this second section, in view of the express evidence of its subject matter, seems to have been revealed at Al-Madinah when fighting had started with the disbelievers and the zakat also had been enjoined as an obligatory duty. On this basis inevitably the two sections should have been sent down at an interval of at least ten years between them.'"
5490,73,16,But Pharaoh disobeyed the messenger; so We seized him with a heavy Punishment.,"b'1. A study of the background of the revelation of these verses given in the introduction above can help one understand why the Prophet (peace be upon him) on this occasion has been addressed with Ya ayyuhal-Muddaththiru instead of Ya ayyuhar-Rasulu (O Messenger), or Ya ayyuhan-Nabiyyu (O Prophet). As the Prophet (peace be upon him) had been terrified when he had suddenly seen the Angel Gabriel, sitting on a throne between heaven and earth, and had returned hastily home and asked the people of the house to cover him up, so Allah addressed him with Ya ayyuhal-Muddaththiru. From this fine way of address the meaning which automatically follows is: O My dear servant, why have you lain down thus enwrapped? You have been put under the burden of a great mission: you must now arise from your solitude to perform this mission with resolution and courage.'"
5491,73,17,"Then how shall ye, if ye deny (Allah), guard yourselves against a Day that will make children hoary-headed?-","b'2. A command of this very nature had been given to the prophet Noah (peace be upon him) while appointing him to the office of Prophethood: Warn the people of your nation before they are overtaken by a painful torment. (Surah Nooh, Ayat 1) The verse means: O you who lays enwrapped, stand up and arouse the people who live in heedlessness around you. Warn them of the fate which would certainly overtake them if they remained involved in the same heedlessness. Warn them that they are not living in a lawless kingdom where they are free to conduct themselves as they like and where they can do wherever they please without any fear or being called to account for it.'"
5492,73,18,Whereon the sky will be cleft asunder? His Promise needs must be accomplished.,"b'3. This is the primary duty of a Prophet (peace be upon him), which he has to perform in this world. His foremost duty is to refute the greatness of all those whom the ignorant people might be holding as great, and publicly proclaim that the greatness in this universe belongs to none but Allah alone. For this very reason the phrase Allahu Akbar has been held as of supreme importance in Islam. The adhan (call to prayer) begins with the proclamation of Allahu Akbar. The Muslim enters the Prayer itself with Allahu Akbar and repeats Allahu Akbar every time he sits or stands, He also pronounces Bismillahi Allahu Akbar when slaughtering an animal. The slogan of Allahu Akbar has become a most distinctive and prominent emblem of Muslims throughout the world today, for the Prophet (peace be upon him) of this ummah himself had embarked on his mission with the magnification and glorification of Almighty Allah.'"
5493,73,19,"Verily this is an Admonition: therefore, whoso will, let him take a (straight) path to his Lord!","b'4. These are very comprehensive words, which are full of meaning.'"
5494,73,20,"Thy Lord doth know that thou standest forth (to prayer) nigh two-thirds of the night, or half the night, or a third of the night, and so doth a party of those with thee. But Allah doth appoint night and day in due measure He knoweth that ye are unable to keep count thereof. So He hath turned to you (in mercy): read ye, therefore, of the Qur'an as much as may be easy for you. He knoweth that there may be (some) among you in ill-health; others travelling through the land, seeking of Allah's bounty; yet others fighting in Allah's Cause, read ye, therefore, as much of the Qur'an as may be easy (for you); and establish regular Prayer and give regular Charity; and loan to Allah a Beautiful Loan. And whatever good ye send forth for your souls ye shall find it in Allah's Presence,- yea, better and greater, in Reward and seek ye the Grace of Allah: for Allah is Oft-Forgiving, Most Merciful.","b'5. Un-cleanliness implies every kind of filth, whether of belief and thought, of morals and deeds, of the body, dress or mode of life. The verse means: Keep yourself free from the filth of evils which are prevalent in society around you: no one should ever impute to you the blame that your own life itself is stained in some degree with the evils that you tell others to avoid.'"
5495,74,1,O thou wrapped up (in the mantle)!,b'6. The words wala tamnun tastakthir in the original are so vast in meaning that no one sentence can convey their full sense in translation.'
5496,74,2,Arise and deliver thy warning!,"b'7. That is, the task that is being entrusted to you is full of hazards: you will meet with great hardships and difficulties and troubles on this way: even your own people will turn hostile against you and the whole of Arabia will become your enemy. Yet you should endure with patience, for the sake of your Lord, whatever you may have to face in this way, and carry out all your duties firmly and resolutely. Fear, greed, friendship, enmity, love, all these will hinder your way, but you should stand your ground firmly and steadfastly.'"
5497,74,3,And thy Lord do thou magnify!,b'There is no commentary by Abul Maududi available for this verse.'
5498,74,4,And thy garments keep free from stain!,"b'8. As already explained in the introduction, this part of the Surah was sent down a few months after the initial verses when at the beginning of the first ever Hajj season, after the advent of Islam, the Quraish chiefs decided in a conference to start a powerful propaganda campaign to dissuade the outsiders, who came to visit the Kabah, from the Quran and the Prophet Muhammad (peace be upon him). In these verses, this very scheming of the Quraish has been reviewed, and the review has begun with the words, as if to say: You may act as you please, but even if you succeed in achieving your object by these devices in the world, how will you save yourselves from your evil end on the Day when the Trumpet will be sounded and Resurrection will be established. (For explanation of the Trumpet, see(E.N. 47 of Surah Al-Anaam); (E.N. 57 of Surah Ibrahim); (E.N. 78 of Surah TaHa); (E.N. 1 of Surah Al-Hajj); (E.Ns 46, 47 of Surah YaSin), (E.N. 79 of Surah Az-Zumar); (E.N. 52 of Surah Qaf).'"
5499,74,5,And all abomination shun!,"b'9. These words by themselves support the conclusion that that Day will be light for the believers, and its hardships will be specially intended only for the deniers of the truth. Moreover, these words also contain the meaning that the severity of that Day will be of an enduring and permanent nature for disbelievers, it will not be a severity which might be expected to become mild with the passage of time.'"
5500,74,6,"Nor expect, in giving, any increase (for thyself)!","b'10. The address is directed to the Prophet (peace be upon him) and it means: O Prophet, leave the case of the person (Walid bin al-Mughirah) to Me, who in the disbelievers\x92 conference proposed that you should be branded as a sorcerer among the pilgrims coming from different parts of Arabia; it is now for Me to deal with him; you need not bother yourself about it at all.'"
5501,74,7,"But, for thy Lord's (Cause), be patient and constant!",b'There is no commentary by Abul Maududi available for this verse.'
5502,74,8,"Finally, when the Trumpet is sounded,","b'12. Walid bin al-Mughirah had ten or twelve sons of whom Khalid bin Walid became most famous. For these sons the word shuhud has been used, which can have several meanings:'"
5503,74,9,"That will be- that Day - a Day of Distress,-",b'There is no commentary by Abul Maududi available for this verse.'
5504,74,10,Far from easy for those without Faith.,"b'13. Its one meaning is that there is still no end to his greed. In spite of having all this he still desires that he should be granted every good thing of the world. Another meaning which Hasan Basri, and some other scholars have given is: He used to say: If what Muhammad (peace be upon him) says is really true that there is another life after death, and there will be a Paradise also in it, then that Paradise too has been prepared for me.'"
5505,74,11,"Leave Me alone, (to deal) with the (creature) whom I created (bare and) alone!-",b'There is no commentary by Abul Maududi available for this verse.'
5506,74,12,"To whom I granted resources in abundance,",b'There is no commentary by Abul Maududi available for this verse.'
5507,74,13,And sons to be by his side!-,b'There is no commentary by Abul Maududi available for this verse.'
5508,74,14,To whom I made (life) smooth and comfortable!,b'There is no commentary by Abul Maududi available for this verse.'
5509,74,15,Yet is he greedy-that I should add (yet more);-,b'There is no commentary by Abul Maududi available for this verse.'
5510,74,16,By no means! For to Our Signs he has been refractory!,b'There is no commentary by Abul Maududi available for this verse.'
5511,74,17,Soon will I visit him with a mount of calamities!,b'There is no commentary by Abul Maududi available for this verse.'
5512,74,18,For he thought and he plotted;-,b'There is no commentary by Abul Maududi available for this verse.'
5513,74,19,And woe to him! How he plotted!-,b'There is no commentary by Abul Maududi available for this verse.'
5514,74,20,"Yea, Woe to him; How he plotted!-","b'14. The reference is to what happened in the conference of the disbelievers of Makkah. From the details of it that we have given in the introduction, it becomes obvious that this man in his heart had become fully convinced of the Quran\x92s being divine word, but in order to save his position as a chief of his people, he was not prepared to affirm faith. When in the conference he himself turned down all the accusations that the Quraish chiefs were proposing against the Prophet (peace be upon him), he was compelled to devise an accusation from himself, which could be spread among the Arabs in order to bring a bad name to the Prophet (peace be upon him). Then, the way he struggled against his conscience, and the way he devised an accusation at last after a prolonged mental conflict, has been vividly depicted here.'"
5515,74,21,Then he looked round;,b'There is no commentary by Abul Maududi available for this verse.'
5516,74,22,Then he frowned and he scowled;,b'There is no commentary by Abul Maududi available for this verse.'
5517,74,23,Then he turned back and was haughty;,"b'15. This can have two meanings: first, that it will burn to ashes whoever is cast into it, but even after death he will not escape from punishment: he will be given life once again and burnt once again, This very subject has been treated at another place thus: He will neither die in it nor live. (Surah Al-Aala, Ayat 13). Another meaning can also be: It will leave none who has deserved the punishment and it will spare none from being punished.'"
5518,74,24,"Then said he: ""This is nothing but magic, derived from of old;","b'16. After saying that it will leave nothing of the body unconsumed, making mention of scorching of the skin separately seems to be somewhat unnecessary. But this form of the punishment has been mentioned separately in particular because it is the skin of a man\x92s face and body which actually makes his personality prominent, and it is its ugliness which makes him feel most ill at ease. He is not so grieved at the internal troubles of his body as, for instance, at his face being ugly, or that there should be spots on the skin of the exposed parts of his body, abhorrent to others. That is why it has been said: If the people who feel proud of their personalities in the world because of having handsome faces and splendid bodies, treat the revelations of Allah mockingly, as did Walid bin al-Mughirah, their faces will be scorched and their skins will be burned black.'"
5519,74,25,"""This is nothing but the word of a mortal!""",b'There is no commentary by Abul Maududi available for this verse.'
5520,74,26,Soon will I cast him into Hell-Fire!,"b'17. The whole passage from here to \x93none knows the hosts of your Lord but He Himself\x94, is a parenthetical sentence, which has been inserted here to answer an objection of the disbelievers, who had started mocking it when they heard the Prophet (peace be upon him) say that 19 keepers had been appointed over Hell.'"
5521,74,27,And what will explain to thee what Hell-Fire is?,"b'27. That is, it is not a hollow thing which may be mocked like that.'"
5522,74,28,"Naught doth it permit to endure, and naught doth it leave alone!-",b'There is no commentary by Abul Maududi available for this verse.'
5523,74,29,Darkening and changing the colour of man!,b'There is no commentary by Abul Maududi available for this verse.'
5524,74,30,Over it are Nineteen.,"b'28. That is, just as the moon and the night and the day are the great signs of the powers of Allah, so also is Hell a great sign of His powers. If the existence of the moon and the alternation of the night and day so regularly were not impossible, why should the existence of Hell be impossible as you think it is. You see these phenomena day and night; therefore, they do not surprise you: otherwise these things in themselves also are great marvels of the powers of Allah. If you had not observed them and somebody were to tell you that there is also such a thing as the moon in the world, or, there is a sun which leaves the world dark when it hides and makes the world shine forth with light when it appears, then the people like you would have made jests of it too as you make jests of Hell.'"
5525,74,31,"And We have set none but angels as Guardians of the Fire; and We have fixed their number only as a trial for Unbelievers,- in order that the People of the Book may arrive at certainty, and the Believers may increase in Faith,- and that no doubts may be left for the People of the Book and the Believers, and that those in whose hearts is a disease and the Unbelievers may say, ""What symbol doth Allah intend by this?"" Thus doth Allah leave to stray whom He pleaseth, and guide whom He pleaseth: and none can know the forces of thy Lord, except He and this is no other than a warning to mankind.",b'There is no commentary by Abul Maududi available for this verse.'
5526,74,32,"Nay, verily: By the Moon,","b'29. That is, the people have been warned to this effect. Now, let him who heeds the warning go forward on the right way, and let him who wills still lag behind.'"
5527,74,33,"And by the Night as it retreateth,","b'30. For explanation, see( E.N. 16 of Surah At-Toor).'"
5528,74,34,"And by the Dawn as it shineth forth,-",b'There is no commentary by Abul Maududi available for this verse.'
5529,74,35,"This is but one of the mighty (portents),","b'31. In other words, the people of the left hand will be seized in consequence of their misdeeds, but the people of the right hand will have their debts settled. (For explanation of the people of the right hand and the left hand, see (E.Ns 5, 6 of Surah Al-Waqiah).'"
5530,74,36,"A warning to mankind,-","b'32. At several places in the Quran, it has been stated that the dwellers of Paradise and the dwellers of Hell will be able to see and communicate with each other directly without the agency of any instrument whenever they will so desire, although they will be living hundreds of thousands of miles away from each other. For instance, see( Surah Al- Aaraf, Ayats 44-50 and E.N. 35); (Surah As-Saaffat, Ayats 50-57 and E.N. 32) on it.'"
5531,74,37,"To any of you that chooses to press forward, or to follow behind;-",b'There is no commentary by Abul Maududi available for this verse.'
5532,74,38,Every soul will be (held) in pledge for its deeds.,"b'33. That is, we were not of those who after having believed in Allah and His Messenger and His Book, performed the foremost duty imposed by Allah, i.e. the Prayer. Here, it should be understood well that unless a person has believed he cannot offer the Prayer at all. Therefore, one\x92s being of those who performed the Prayer, by itself implies that one is a believer. But by attributing one\x92s going to Hell to his not being of those who performed their Prayer, it has been made explicit that one cannot escape Hell even after having believed if he does not perform his Prayers regularly.'"
5533,74,39,Except the Companions of the Right Hand.,"b'34. This shows how grave a sin it is in Islam to see a hungry man and fail to feed him even if one can, for this has been particularly mentioned as one of the causes of going to Hell.'"
5534,74,40,"(They will be) in Gardens (of Delight): they will question each other,",b'There is no commentary by Abul Maududi available for this verse.'
5535,74,41,And (ask) of the Sinners:,b'There is no commentary by Abul Maududi available for this verse.'
5536,74,42,"""What led you into Hell Fire?""","b'35. Until the inevitable certainty overtakes: Until death came upon us. Here, the inevitable implies death as well as the Hereafter.'"
5537,74,43,"They will say: ""We were not of those who prayed;","b'36. That is, even if an intercessor interceded for a person who persisted in this way of life till death, he would not be forgiven. The question of intercession has been fully explained at many places in the Quran that no one can have any difficulty in knowing and understanding as to who can intercede and who cannot, when one can intercede and when one cannot, for whom one can intercede and for whom one cannot, and for whom intercession is beneficial and for whom it is not. As one of the major causes of the people\x92s deviation in the world is their false concept about intercession, it has been explained at such length in the Quran as to leave no room for any doubt and ambiguity. For example, see ( Surah Al-Baqarah, Ayat 255); (Surah Al- Anaam, Ayat 94); (Surah Al-Aaraf, Ayat 53); (Surah Younus, Ayats 3-18); (Surah Maryam, Ayat 87); (Surah TaHa, Ayat 109); (Surah Al-Anbiya, Ayat 28); (Surah Saba, Ayat 23); (Surah Az-Zumar, Ayats 43-44); (Surah Al-Momin, Ayat 18); (Surah Ad-Dukhan, Ayat 86); (Surah An-Najm, Ayat 26); (Surah An-Naba, Ayat 37-38).'"
5538,74,44,"""Nor were we of those who fed the indigent;",b'There is no commentary by Abul Maududi available for this verse.'
5539,74,45,"""But we used to talk vanities with vain talkers;",b'There is no commentary by Abul Maududi available for this verse.'
5540,74,46,"""And we used to deny the Day of Judgment,",b'37. This is an idiomatic expression in Arabic which depicts the character of wild donkeys who flee stupefied and stunned as soon as they smell a lion or hear a hunter.'
5541,74,47,"""Until there came to us (the Hour) that is certain.""","b'38. That is, they desire that if Allah really has appointed Muhammad (peace be upon him) as His Prophet, He should send a letter to each one of the chiefs and elders of Makkah telling him that Muhammad (peace be upon him) is Allah\x92s Prophet; therefore he should obey and follow him. And these letters should be such as may convince them that they have been written by Allah Himself. At another place in the Quran, this saying of the disbelievers of Makkah has been cited: We will not believe in it unless we are given the like of what has been given to the Messengers of Allah. (Al- Anaam, Ayat 124). At still another place their this demand has been cited: Or you ascend the sky \x85 and bring down to us a writing that we may read. (Surah Bani lsrail, Ayat 93).'"
5542,74,48,Then will no intercession of (any) intercessors profit them.,"b'39. That is, the real cause of their failure to affirm the faith is not that their demands are not fulfilled, but the real cause is that they are fearless of the Hereafter. They think that this world is an end in itself and they do not have any idea that there is another life after this worldly life in which they will have to render an account of their deeds. This very thing has made them careless and irresponsible in the world. They regard the question of truth and falsehood as utterly meaningless, for they do not see any truth following which may have necessarily led to a good result in the world, nor do they see any falsehood which might have always led to an evil result in the world. Therefore, they think it is useless merely to consider as to what is really true and what is false. This question can be worthy of serious consideration only for the person who regards the present life of the world as transitory and admits that the real and everlasting life is the life hereafter, where the truth will necessarily lead to a good result and falsehood necessarily to an evil result. Such a person will certainly believe when he sees the rational arguments and the pure teachings presented in the Quran and will use his common sense to understand what is actually wrong with the beliefs and deeds which the Quran calls wrong. But the denier of the Hereafter who is not at all serious in his search for the truth, will present ever new demands every day for not believing, and will present a new excuse for his denial even if all his demands are fulfilled. This same thing has been expressed in (Surah Al-Anaam, Ayat 7) thus: O Prophet, even if We had sent down to you a Book written on paper, and even if they had touched it with their own hands, the disbelievers would have said: This is nothing but manifest sorcery.'"
5543,74,49,Then what is the matter with them that they turn away from admonition?-,"b'40. That is, no such demand of theirs will ever be fulfilled.'"
5544,74,50,"As if they were affrighted asses,",b'There is no commentary by Abul Maududi available for this verse.'
5545,74,51,Fleeing from a lion!,"b'41. That is, a person\x92s taking heed does not wholly depend upon his own will, but he takes heed only when Allah also wills to grant him the grace to take heed. In other words, the truth that has been expressed here is that no act of man takes a concrete shape solely by his own will, but each act is implemented only when the will of God combines with the will of the man. This is a very delicate question, failure to understand which has often made human thought falter. Briefly it can be understood thus: If in this world every man had the power to accomplish whatever he wanted to accomplish, the system of the world would be disturbed. This system continues to hold only because the will of Allah is dominant over all other wills. Man can accomplish whatever he wants to accomplish only when Allah also wills that he be allowed to accomplish it. The same is also the case with guidance and error. Only man\x92s own desiring to have guidance is not enough for him to have guidance; he receives guidance only when Allah also takes a decision to fulfill his desire. Likewise, only man\x92s desiring to go astray by itself is also not enough, but when Allah in view of his desire decides that he be allowed to wander into evil ways, then he wanders into the evil ways in which Allah allows him to wander. As for example, if a person wants to become a thief, only his desire is not enough that he may enter into any house he likes and walk away with whatever he likes, but he can fulfill his desire only at the time and to the extent and in the form that Allah allows him to fulfill it, according to His supreme wisdom and expedience.'"
5546,74,52,"Forsooth, each one of them wants to be given scrolls (of revelation) spread out!","b'1. To begin the discourse with \x91Nay\x92 by itself indicates that the Surah was sent down to refute some argument which was already in progress. The theme that follows shows that the argument was about Resurrection and life after death, which the people of Makkah were denying and also mocking at it at the same time. This can be understood by an example. If a person only wants to affirm the truth of the Messenger, he will say: By God, the Messenger has come with the truth. But if some people might be denying the truth of the Messenger, he in response would rejoin, thus: Nay, by God, the Messenger has come with the truth. It would mean: That which you say is not true. I swear that the truth is this and this.'"
5547,74,53,"By no means! But they fear not the Hereafter,",b'2. The Quran has mentioned three kinds of human self:'
5548,74,54,"Nay, this surely is an admonition:","b'3. The above two arguments, which have been presented in the form of the oaths, only prove two things. First, that the end of the world (i.e. the first stage of Resurrection) is a certainty; and second, that another life after death is necessary, for without it the logical and natural demands of man\x92s being a moral being cannot be fulfilled; and this will certainly happen, for the existence of the conscience in man testifies to it. Now, this third argument has been given to prove that life after death is possible. The people of Makkah who denied it, said again and again: How can it be that the people who died hundreds of thousands of years ago, whose bodies have disintegrated into particles and mixed in the dust, whose bones decayed and were scattered away by the winds, some of whom were burnt to ashes, others devoured by the beasts of prey, still others drowned in the seas and swallowed by fish, the material constituents of their bodies should re-assemble and every man should rise up as the same person that he once was ten or twenty thousand years before? Allah has given its very rational and highly forceful reply in the form of this brief question: Does man think that We shall not be able to put his bones together? That is, If you had been told that the scattered particles of your body would reunite of their own accord some time in the future, and you would come back to life by yourself with this very body, you would no doubt have been justified in regarding it as impossible. But what you have actually been told is that such a thing will not happen by itself, but Allah Almighty will do this. Now, do you really think that the Creator of the universe, Whom you yourself also regard as the Creator, would be powerless to do so? This was such a question in answer to which nobody who believed in God to be the Creator of the universe; could say, neither then nor today, that even God Himself could not do this even if He so willed. And if a disbeliever says such a thing, he can be asked: How did God in the first instance make the body in which you at present exist, by gathering its countless particles together from the air, water and earth and many other places you do not know. How, then, can you say that the same God cannot gather its constituent parts together once again.'"
5549,74,55,"Let any who will, keep it in remembrance!","b'4. That is, not to speak of building up your skeleton once again by gathering together the major bones? We are able to make whole the most delicate parts of your body, even your finger tips, as they used to be before.'"
5550,74,56,"But none will keep it in remembrance except as Allah wills: He is the Lord of Righteousness, and the Lord of Forgiveness.","b'5. In this brief sentence the real disease of the deniers of the Hereafter has been clearly diagnosed. What makes them deny the Hereafter is not, in fact, their regarding the Resurrection and Hereafter as impossible but they deny it because acceptance of the Hereafter inevitably imposes certain moral restrictions on them, which they detest. They desire that they should continue roaming in the world at will as they have been roaming before. They should have full freedom to go on committing whatever injustice, dishonesty, sin and wickedness that they have been committing before, and there should be no deterrent to obstruct their freedom and to warn them that one day they will have to appear and render an account of their deeds before their God. Therefore, it is not their intellect which is hindering them from believing in the Hereafter but their desires of the self.'"
5551,75,1,I do call to witness the Resurrection Day;,"b'6. This question was not put as a question but derisively and to deny Resurrection, That is, they did not want to ask when Resurrection would take place but asked mockingly: What has happened to the day with which you are threatening us. When will it come.'"
5552,75,2,And I do call to witness the self-reproaching spirit: (Eschew Evil).,"b'7. Literally, the words bariq al-basaru mean dazzling of the eyes by lightning, but in the Arabic idiom these words do not specifically carry this meaning only but are also used for man\x92s being terror-stricken and amazed, or his being confounded on meeting with an accident suddenly and his eyes being dazed at some distressing sight before him. This subject has been expressed at another place in the Quran, thus: Allah is only deferring their case to the Day when the eyes shall stare with consternation. (Surah Ibrahim, Ayat 42).'"
5553,75,3,Does man think that We cannot assemble his bones?,b'There is no commentary by Abul Maududi available for this verse.'
5554,75,4,"Nay, We are able to put together in perfect order the very tips of his fingers.","b'8. This is a brief description of the chaotic condition of the system of the universe that will prevail in the first stage of Resurrection. The darkening of the moon and the joining of the moon and the sun together can also mean that not only will the moon lose its light, which is borrowed from the sun, but the sun itself will become dark and both will become devoid of light similarly. Another meaning can be that the earth will suddenly start rotating in the reverse order and on that day both the moon and the sun will rise simultaneously in the west. And a third meaning can be that the moon will suddenly shoot out of the earth\x92s sphere of influence and will fall into the sun. There may possibly be some other meaning also of this which we cannot understand today.'"
5555,75,5,But man wishes to do wrong (even) in the time in front of him.,b'There is no commentary by Abul Maududi available for this verse.'
5556,75,6,"He questions: ""When is the Day of Resurrection?""",b'There is no commentary by Abul Maududi available for this verse.'
5557,75,7,"At length, when the sight is dazed,",b'There is no commentary by Abul Maududi available for this verse.'
5558,75,8,And the moon is buried in darkness.,"b'9. Bima qaddama wa akhkhara is a very comprehensive sentence, which can have several meanings and probably all are implied:'"
5559,75,9,"And the sun and moon are joined together,-",b'There is no commentary by Abul Maududi available for this verse.'
5560,75,10,"That Day will Man say: ""Where is the refuge?""","b'10. That is, the object of placing man\x92s record before him will not be to inform the culprit of his crimes, but this will be done because the demands of justice are not fulfilled unless the proof of the crime is produced before the court; otherwise everyman fully knows what he actually is. For the sake of self-knowledge he does not need that another one should tell him what he is. A liar can deceive the whole world but he himself knows that he lies. A thief can devise a thousand devices to conceal his crime but he himself is aware that he is a thief. A person involved in error can present a thousand arguments to assure the people that he is honestly convinced of the disbelief, atheism or polytheism, which he professes and follows, but his own conscience is never unaware of why he persists in that creed and what, in fact, prevents him from understanding and admitting its error and falsity. An unjust, wicked, dishonest, unmoral and corrupt person can even suppress the voice of his own conscience by inventing one or another excuse so that it may stop reproaching him and should be satisfied that he is doing whatever he is doing only because of certain compulsions, expediencies and genuine needs, but despite this he has in any case the knowledge of what wrong he has committed against a certain person, how he has deprived another of his rights, how he deceived still another and that unlawful methods he used to gain what he has gained. Therefore, at the time when one appears in the court of the Hereafter, every disbeliever, every hypocrite, every wicked person and culprit will himself be knowing what he has done in the world and for what crime he stands before his God.'"
5561,75,11,By no means! No place of safety!,"b'11. The whole passage from here to \x93Then, indeed, it is upon Us its clarification\x94 is a parenthesis, which has been interposed here as an address to the Prophet (peace be upon him). As we have explained in the introduction above, in the initial stages of the Prophethood when the Prophet (peace be upon him) was not yet fully used to receiving the revelation, he was afraid when revelation came down to him whether he would be able to remember exactly what the Angel Gabriel was reciting to him or not. Therefore, he would try to commit to memory rapidly what he heard from the Angel simultaneously. The same thing happened when Gabriel was reciting these verses of Surah Al- Qiyamah. Therefore, interrupting what was being revealed, the Prophet (peace be upon him) was instructed to the effect: Do not try to memorize the words of the revelation, but listen to it attentively and carefully. It is Our responsibility to enable you to remember it by heart and then to recite it accurately. Rest assured that you will not forget even a word of this revelation, nor ever commit a mistake in reciting it.'"
5562,75,12,"Before thy Lord (alone), that Day will be the place of rest.",b'There is no commentary by Abul Maududi available for this verse.'
5563,75,13,"That Day will Man be told (all) that he put forward, and all that he put back.","b'12. Although it was Angel Gabriel who recited the Quran to the Prophet (peace be upon him), since he recited it on behalf of Allah and not on his own behalf, Allah said: When We have recited it.'"
5564,75,14,"Nay, man will be evidence against himself,","b'13. This gives the feeling, and some early commentators have also given expression to the same, that probably in the beginning the Messenger (peace be upon him) of Allah used to ask of the Angel Gabriel the meaning of a verse or a word or a command of the Quran even in the very midst of the revelation itself. Therefore, the Prophet (peace be upon him) was not only given the instruction that he should listen quietly to revelation when it came down to him, and assured that its each word would be preserved in his memory precisely, and he would be enabled to recite the Quran exactly as it was revealed, but at the same time it was also promised that he would be made to understand the meaning and intention of each command and each instruction of divine revelation.'"
5565,75,15,Even though he were to put up his excuses.,"b'14. The theme is again resumed from where it was interrupted by the parenthesis. Nay implies: You deny the Hereafter not because you regard the Creator of the universe as helpless to bring about Resurrection and raise the dead, but because of this and this other reason.'"
5566,75,16,Move not thy tongue concerning the (Qur'an) to make haste therewith.,"b'15. This is the second reason for denying the Hereafter, the first being the one mentioned in verse 5 above, saying: Since man wants to avoid the moral restrictions which are inevitably imposed by the belief in the Hereafter, his selfish motives, in fact, urge him to deny the Hereafter, and then he tries to present arguments in order to rationalize his denial. Now, the second reason being presented is that the deniers of the Hereafter are narrow-minded and shortsighted; for them only those results are all important, which appear in this world, and they do not give any importance to those effects which will appear in the Hereafter. They think that they should spend all their labor and effort in attaining whatever benefits, pleasures or joys they can attain here, for if one attained this, one attained everything, no matter what evil end this might lead to in the Hereafter. Likewise, they think that the loss or trouble or grief that can afflict one here is a thing that one must avoid, no matter how great a reward it might earn one in the Hereafter if one endured it here. They are only interested in the cash bargain. For the sake of as remote a thing as the Hereafter they can neither abandon a profit nor suffer a loss today. With this mode of thought when they discuss the question of the Hereafter rationally, it is not true rationalism but a mode of thinking because of which they are resolved not to acknowledge the Hereafter in any case even if their conscience might be crying froth within that the arguments for the possible occurrence and necessity of the Hereafter given in the Quran are highly rational and their own reasoning against it is very weak.'"
5567,75,17,It is for Us to collect it and to promulgate it:,"b'16. Some faces shall be radiant; will be beaming with joy and delight, for the Hereafter which they had believed in, will be before them precisely accordingly to their belief. Thus, when they see the Hereafter for the sake of which they had given up the unlawful benefits of the world and suffered the lawful losses, actually established before their very eyes, they will have the satisfaction that they had made the correct decision about their way of life, and the time had come when they would enjoy its best and plentiful fruits.'"
